Summary,Issue Type,Description,Priority,Labels,Epic Link
Parser Enhancements,Epic,Epic covering all improvements to the Google Docs PRD parser — the entry point of every SpecDrift sync.,High,specdrift-roadmap,
CLI Improvements,Epic,Epic covering developer experience improvements to the SpecDrift command line interface.,High,specdrift-roadmap,
Drift Detection Engine,Epic,Epic covering accuracy and coverage improvements to the core drift detection module.,High,specdrift-roadmap,
GitHub Integration,Epic,Epic covering improvements to GitHub PR linking and drift signal detection for unlinked PRs.,Medium,specdrift-roadmap,
Dashboard Visualisation,Epic,Epic covering frontend improvements to the SpecDrift drift report dashboard.,Medium,specdrift-roadmap,
CI/CD Security Hardening,Epic,Epic covering security and infrastructure improvements to the GitHub Actions deployment workflows.,High,specdrift-roadmap,
Add Google Docs import support for nested PRD sections,Story,As a PM I want SpecDrift to correctly parse nested sections in my Google Docs PRD so that deeply structured roadmaps are fully captured in drift analysis.,High,specdrift-roadmap,Parser Enhancements
Handle Google Docs tables as structured PRD metadata,Story,As a PM I want SpecDrift to read tables inside my PRD as structured metadata so that I can track status and ownership per section.,Medium,specdrift-roadmap,Parser Enhancements
Add support for parsing PRD sections with custom heading styles,Story,As a PM I want SpecDrift to recognise custom heading styles in Google Docs so that teams with non-standard PRD formats are supported.,Medium,specdrift-roadmap,Parser Enhancements
Improve parser resilience when Google Docs API rate limits,Story,As an engineer I want the parser to gracefully handle Google Docs API rate limit errors so that syncs do not fail silently during peak usage.,High,specdrift-roadmap,Parser Enhancements
Add --watch mode to CLI for continuous drift monitoring,Story,As an engineer I want a --watch flag on the CLI so that SpecDrift automatically re-syncs at a configurable interval without manual intervention.,Medium,specdrift-roadmap,CLI Improvements
Add CLI command to diff two drift reports side by side,Story,As a PM I want to run specdrift diff to compare two drift snapshots so that I can see how alignment has changed between sprints.,High,specdrift-roadmap,CLI Improvements
Improve CLI output formatting for large PRDs with 20 or more sections,Story,As a PM I want the CLI output to be readable when my PRD has more than 20 sections so that I can quickly scan for red and amber signals.,Medium,specdrift-roadmap,CLI Improvements
Add specdrift status command showing last sync health,Story,As an engineer I want a specdrift status command so that I can quickly check when the last successful sync ran and whether any errors occurred.,Low,specdrift-roadmap,CLI Improvements
Add confidence scoring to drift signals,Story,As a PM I want each drift signal to include a confidence score so that I can prioritise high-confidence signals over speculative ones.,High,specdrift-roadmap,Drift Detection Engine
Detect drift when PRD section is deleted but Jira story remains open,Story,As a PM I want SpecDrift to flag when a PRD section has been removed but its linked Jira story is still open so that orphaned work is surfaced.,High,specdrift-roadmap,Drift Detection Engine
Improve drift detection for multi-repo GitHub projects,Story,As an engineering lead I want SpecDrift to detect unlinked PRs across multiple GitHub repositories so that monorepo and multi-repo projects are fully covered.,High,specdrift-roadmap,Drift Detection Engine
Add historical drift trend analysis to detection report,Story,As a PM I want to see a trend chart showing how many sections were drifted over the last 4 sprints so that I can track whether alignment is improving.,Medium,specdrift-roadmap,Drift Detection Engine
Support custom drift rules via specdrift.yaml configuration,Story,As an engineering lead I want to define custom drift rules in specdrift.yaml so that our team can encode product-specific alignment requirements.,Medium,specdrift-roadmap,Drift Detection Engine
Support GitHub Enterprise in addition to GitHub.com,Story,As an enterprise user I want SpecDrift to connect to a GitHub Enterprise instance so that teams not on GitHub.com can use the tool.,Medium,specdrift-roadmap,GitHub Integration
Add PR comment bot improvements for clearer drift warnings,Story,As a developer I want the SpecDrift PR bot comment to clearly explain which PRD section my PR is linked to so that I can verify alignment before merging.,High,specdrift-roadmap,GitHub Integration
Detect draft PRs separately from merged PRs in drift analysis,Story,As a PM I want draft PRs to be shown separately in the drift report so that I can distinguish work in progress from completed work.,Low,specdrift-roadmap,GitHub Integration
Link PRs to PRD sections using semantic similarity not just keywords,Story,As a PM I want SpecDrift to use semantic matching to link PRs to PRD sections so that PRs without explicit Jira references are still correctly attributed.,High,specdrift-roadmap,GitHub Integration
Add section health timeline chart to SectionDetailPanel,Story,As a PM I want to see a health timeline for each PRD section in the dashboard so that I can understand how a section's drift status has changed over time.,Medium,specdrift-roadmap,Dashboard Visualisation
Add export to PDF for drift reports,Story,As a PM I want to export the current drift report as a PDF so that I can share it with stakeholders who do not have access to the dashboard.,High,specdrift-roadmap,Dashboard Visualisation
Build PRD tree interactive visualisation on PrdTreePage,Story,As a PM I want an interactive tree view of my PRD structure in the dashboard so that I can navigate large PRDs and drill into drifted sections quickly.,High,specdrift-roadmap,Dashboard Visualisation
Add real-time drift feed filtering on DriftFeedPage,Story,As an engineering lead I want to filter the drift feed by severity and section so that I can focus on critical signals without scrolling through all events.,Medium,specdrift-roadmap,Dashboard Visualisation
Improve report rendering performance for large PRDs,Story,As a PM I want the dashboard to load instantly even for PRDs with 50 or more sections so that I am not waiting for the report to render in sprint reviews.,High,specdrift-roadmap,Dashboard Visualisation
Add automated security scanning to deployment pipeline,Story,As an engineering lead I want the CI pipeline to run a security scan on every deployment so that vulnerabilities in the workflow are caught before they reach production.,High,specdrift-roadmap,CI/CD Security Hardening
Migrate dashboard deployment to new GitHub Pages workflow,Story,As an engineer I want to migrate the dashboard deployment to an updated GitHub Actions workflow so that we are using current and supported deployment actions.,High,specdrift-roadmap,CI/CD Security Hardening
Add environment-specific deployment gates to CI pipeline,Story,As an engineering lead I want deployment gates that require approval for production deployments so that no untested code reaches the live dashboard.,High,specdrift-roadmap,CI/CD Security Hardening
